id,item_group_id,title,description,link,image_link,price,availability,condition,google_product_category,product_type,additional_image_link,sale_price,brand,gender,age_group,size,size_type,shipping,custom_label_0,adwords_redirect
product_495b16db-edcb-2119-1f9c-4703531f41c7,PIN-1,MAUDE - BEIGE,Handcrafted in Germany by a Family of Women Artisans,https://www.fashionforempowerment.com/product-page/maude-beige,https://www.wix.com/dashboard/37f8e288-e454-4e6b-8ef4-856f28f4ec68/store/products/product/495b16db-edcb-2119-1f9c-4703531f41c7?referralInfo=seo-tools,397.00,in stock,new,Apparel & Accessories > Clothing > Shirts & Tops,Women's > Tops > Denim,https://www.wix.com/dashboard/37f8e288-e454-4e6b-8ef4-856f28f4ec68/store/products/product/9135f295-36b1-1c8e-9d1c-8058764e58c0?referralInfo=seo-tools,397.00,Fashion for Empowerment,female,adult,,regular,US:CA:Ground:0 USD,Bestseller,https://www.example.com/apparel/denim/pin-101.html?utm_source=Pinterest&utm_campaign=shopping
product_9135f295-36b1-1c8e-9d1c-8058764e58c0,PIN-2,MIA MINI WAFFLE - MIDNIGHT BLUE,Handcrafted in Tunisia,https://www.fashionforempowerment.com/product-page/orion-beige,https://www.wix.com/dashboard/37f8e288-e454-4e6b-8ef4-856f28f4ec68/store/products/product/9135f295-36b1-1c8e-9d1c-8058764e58c0?referralInfo=seo-tools,65.00,in stock,new,Apparel & Accessories > Clothing > Shirts & Tops,Men's > Tops > Denim,https://www.wix.com/dashboard/37f8e288-e454-4e6b-8ef4-856f28f4ec68/store/products/product/9135f295-36b1-1c8e-9d1c-8058764e58c0?referralInfo=seo-tools,397.00,Fashion for Empowerment,female,adult,,regular,US:CA:Ground:0 USD,Bestseller,https://www.example.com/apparel/denim/pin-201.html?utm_source=Pinterest&utm_campaign=shopping
